epoch	lr	acc	loss	val_acc	val_loss
1	0.001	0.935483328328	0.20554995444	0.979399981499	0.0593517305533
2	0.001	0.971749984423	0.0879383770477	0.98689997375	0.0428863832832
3	0.001	0.97793331484	0.0714870932683	0.990699967146	0.0300454051014
4	0.001	0.980016646385	0.0628528571416	0.98879997313	0.0364554147969
5	0.001	0.982099976738	0.0567285490141	0.993199971318	0.0228413314527
6	0.001	0.983533309698	0.0530298792745	0.993699973226	0.01780926326
7	0.001	0.984433307548	0.0509217405168	0.9922999686	0.0235384291006
8	0.001	0.985633309583	0.0473231550157	0.993499975204	0.0205113387
9	0.001	0.986216641068	0.0458690230025	0.992899970412	0.0221375104335
10	0.001	0.986349974672	0.0429647620016	0.9927999717	0.0217829759044
11	0.001	0.986699972848	0.041665572934	0.991499972343	0.0272631339855
12	0.001	0.987433306376	0.0406933277562	0.993399969339	0.0206444523933
13	0.001	0.98723330756	0.0409625724454	0.993199971914	0.0209379502702
14	0.001	0.987916639745	0.0379832201434	0.993899970055	0.0208803301764
15	0.001	0.988266637623	0.0369156808042	0.992499975562	0.0233714788837
16	0.001	0.989166639348	0.0355711102201	0.993699973226	0.022147867496
17	0.001	0.988916640182	0.036164114669	0.993899971843	0.0182114536732
18	0.000316228	0.992249969542	0.0242306068175	0.995099971294	0.013740588757
19	0.000316228	0.992966635923	0.022010214966	0.995899966955	0.0108571231572
20	0.000316228	0.992999966343	0.0212806067343	0.996699965596	0.0108226092753
21	0.000316228	0.993316635489	0.0209161998776	0.995599968433	0.0125519477316
22	0.000316228	0.993333301346	0.0210103310276	0.995599964857	0.0137637393167
23	0.000316228	0.993616635104	0.0200403246832	0.996499967575	0.0108138151608
24	0.000316228	0.993649969101	0.0200723590972	0.995699980855	0.0135843648827
25	0.000316228	0.993649967511	0.0201112008859	0.996299969554	0.0109017641901
26	0.0001	0.994766633213	0.0164351987667	0.996399962306	0.010537790504
27	0.0001	0.994833300114	0.0158155429218	0.997099967003	0.0109688516958
28	0.0001	0.995466632942	0.0143813623519	0.996099974513	0.010937701744
29	0.0001	0.995366634727	0.0147146594211	0.996499968767	0.0103505692806
30	0.0001	0.994983299673	0.014777708889	0.996399969459	0.0104019557283
31	0.0001	0.995416632791	0.0152976461883	0.99629997313	0.0104236275016
32	3.16228e-05	0.995733298361	0.0136046340089	0.996799966097	0.0103656065624
33	1e-05	0.995983300507	0.0134909995016	0.996499968767	0.0101624633332
34	1e-05	0.9959166345	0.013410868314	0.996399965286	0.0100972624925
35	3.16228e-06	0.996166633666	0.0128806776897	0.996399970055	0.0101457356602
36	3.16228e-06	0.995733299951	0.0135234444038	0.996399968266	0.0100906381981
37	1e-06	0.995916630924	0.0132508742759	0.996399963498	0.0100717657129
