epoch	lr	loss	acc	val_loss	val_acc	time
90	7.8e-01	2.3690	0.6068	1.7743	0.6458	63
91	7.8e-01	2.3735	0.6035	1.7097	0.6690	64
92	7.8e-01	2.3579	0.6094	1.7948	0.6541	63
93	7.8e-01	2.3546	0.6099	1.7941	0.6451	63
94	7.8e-01	2.3556	0.6075	1.7445	0.6538	63
95	7.8e-01	2.3539	0.6105	1.6469	0.6747	64
96	7.8e-01	2.3549	0.6093	1.7355	0.6544	63
97	7.8e-01	2.3601	0.6104	1.7171	0.6687	63
98	7.8e-01	2.3390	0.6135	1.7031	0.6776	64
99	7.8e-01	2.3339	0.6177	1.6383	0.6847	64
100	7.8e-01	2.3544	0.6122	1.7600	0.6520	63
101	7.8e-01	2.3301	0.6203	1.7413	0.6642	64
102	7.8e-01	2.3272	0.6212	1.7700	0.6590	63
103	7.8e-01	2.3390	0.6198	1.9060	0.6250	63
104	7.8e-01	2.3299	0.6203	1.7822	0.6554	65
105	7.8e-01	2.3276	0.6214	1.7569	0.6589	63
106	7.8e-01	2.3221	0.6214	1.7100	0.6744	63
107	7.8e-01	2.3209	0.6239	1.6127	0.6921	64
108	7.8e-01	2.3177	0.6279	1.6718	0.6821	63
109	7.8e-01	2.3244	0.6227	1.7463	0.6584	63
110	7.8e-01	2.3161	0.6277	1.6995	0.6785	64
111	7.8e-01	2.3174	0.6285	1.6577	0.6796	63
112	7.8e-01	2.3216	0.6283	1.6765	0.6776	64
113	7.8e-01	2.3061	0.6306	1.6539	0.6895	63
114	7.8e-01	2.3015	0.6299	1.6896	0.6786	63
115	7.8e-01	2.3157	0.6293	1.7130	0.6759	64
116	7.8e-01	2.3109	0.6317	1.7340	0.6732	65
117	7.8e-01	2.3096	0.6344	1.7002	0.6730	65
118	7.8e-01	2.3078	0.6319	1.7696	0.6666	64
119	7.8e-01	2.3077	0.6354	1.7834	0.6677	64
120	7.8e-01	2.3052	0.6316	1.7293	0.6727	64
121	7.8e-01	2.2951	0.6379	1.7178	0.6773	64
122	7.8e-01	2.2993	0.6364	1.7164	0.6761	63
123	7.8e-01	2.3016	0.6349	1.7708	0.6713	64
124	7.8e-01	2.2966	0.6394	1.6243	0.6997	65
125	7.8e-01	2.2995	0.6360	1.7510	0.6717	64
126	7.8e-01	2.2785	0.6408	1.6990	0.6861	64
127	7.8e-01	2.3030	0.6350	1.7462	0.6724	68
128	7.8e-01	2.2830	0.6427	1.7229	0.6736	64
129	7.8e-01	2.2919	0.6428	1.7417	0.6616	63
130	7.8e-01	2.2734	0.6457	1.7751	0.6705	63
131	7.8e-01	2.2855	0.6451	1.7081	0.6859	64
132	7.8e-01	2.2759	0.6443	1.6715	0.6857	63
133	7.8e-01	2.2853	0.6445	1.7886	0.6567	64
134	7.8e-01	2.2783	0.6445	1.7276	0.6790	64
135	7.8e-01	2.2891	0.6424	1.6778	0.6891	63
136	7.8e-01	2.2792	0.6454	1.7163	0.6805	65
137	7.8e-01	2.2559	0.6523	1.6653	0.6929	64
138	7.8e-01	2.2721	0.6475	1.7785	0.6602	63
139	7.8e-01	2.2735	0.6478	1.7523	0.6733	63
140	7.8e-01	2.2732	0.6488	1.7358	0.6760	64
141	7.8e-01	2.2668	0.6525	1.8176	0.6589	63
142	7.8e-01	2.2718	0.6480	1.6908	0.6889	64
143	7.8e-01	2.2676	0.6482	1.6941	0.6928	63
144	7.8e-01	2.2780	0.6480	1.7371	0.6778	63
145	7.8e-01	2.2609	0.6533	1.7587	0.6823	63
146	7.8e-01	2.2643	0.6518	1.6998	0.6899	63
147	7.8e-01	2.2690	0.6529	1.7328	0.6818	63
148	7.8e-01	2.2738	0.6505	1.7554	0.6831	65
149	7.8e-01	2.2752	0.6526	1.7348	0.6822	63
150	7.8e-01	2.2569	0.6554	1.8288	0.6679	67
151	7.8e-02	2.2039	0.6741	1.3615	0.7708	64
152	7.8e-02	2.0718	0.7137	1.2869	0.7920	63
153	7.8e-02	2.0195	0.7292	1.2937	0.7880	63
154	7.8e-02	1.9994	0.7356	1.2799	0.7929	63
155	7.8e-02	1.9986	0.7334	1.2841	0.7976	63
156	7.8e-02	1.9692	0.7418	1.2823	0.7919	63
157	7.8e-02	1.9625	0.7439	1.2780	0.7945	62
158	7.8e-02	1.9470	0.7472	1.2845	0.7947	63
159	7.8e-02	1.9485	0.7473	1.2573	0.7988	63
160	7.8e-02	1.9369	0.7518	1.2795	0.7904	63
161	7.8e-02	1.9352	0.7533	1.2535	0.8001	63
162	7.8e-02	1.9245	0.7529	1.2654	0.7948	63
163	7.8e-02	1.9176	0.7561	1.2478	0.7984	64
164	7.8e-02	1.9030	0.7596	1.2662	0.7958	64
165	7.8e-02	1.9110	0.7571	1.2796	0.7953	63
166	7.8e-02	1.9025	0.7567	1.2551	0.8018	64
167	7.8e-02	1.8930	0.7611	1.2265	0.8005	64
168	7.8e-02	1.9162	0.7537	1.2422	0.8005	63
169	7.8e-02	1.8842	0.7607	1.2421	0.7981	64
170	7.8e-02	1.8842	0.7629	1.2631	0.7935	63
171	7.8e-02	1.8680	0.7680	1.2532	0.7933	64
172	7.8e-02	1.8686	0.7633	1.2626	0.7918	64
173	7.8e-02	1.8699	0.7651	1.2419	0.7998	64
174	7.8e-02	1.8587	0.7667	1.2645	0.7950	63
175	7.8e-02	1.8548	0.7700	1.2466	0.8004	63
176	7.8e-02	1.8561	0.7677	1.2296	0.7986	63
177	7.8e-02	1.8511	0.7704	1.2402	0.8003	63
178	7.8e-02	1.8448	0.7725	1.2278	0.8016	64
179	7.8e-02	1.8414	0.7710	1.2351	0.7945	64
180	7.8e-02	1.8457	0.7684	1.2283	0.8021	64
181	7.8e-02	1.8363	0.7726	1.2447	0.7974	64
