epoch	lr	loss	acc	val_loss	val_acc	delta_ema
80	1.0e-01	2.4742	0.6773	3.6968	0.5236	-0.01756
81	1.0e-01	2.4764	0.6776	2.9837	0.5768	-0.01233
82	1.0e-01	2.4808	0.6755	2.9728	0.5844	-0.01180
83	1.0e-01	2.4775	0.6770	3.3930	0.5144	-0.01280
84	1.0e-01	2.4800	0.6773	3.0411	0.5713	-0.01393
85	1.0e-01	2.4851	0.6751	2.9280	0.5888	-0.01301
86	1.0e-01	2.4804	0.6776	2.9970	0.5858	-0.01292
87	1.0e-01	2.4699	0.6804	3.0119	0.5764	-0.00858
88	1.0e-01	2.4807	0.6788	3.1027	0.5666	-0.01626
89	1.0e-01	2.4790	0.6811	3.1479	0.5592	-0.01073
90	1.0e-01	2.4803	0.6793	2.9739	0.5927	-0.01112
91	1.0e-01	2.4686	0.6830	3.3188	0.5208	-0.00729
92	1.0e-01	2.4818	0.6792	3.1533	0.5648	-0.01355
93	1.0e-01	2.4792	0.6805	2.9992	0.5819	-0.01084
94	1.0e-01	2.4779	0.6798	2.9401	0.5988	-0.01287
95	1.0e-01	2.4766	0.6815	2.9236	0.6021	-0.00765
96	1.0e-01	2.4898	0.6769	2.9307	0.5944	-0.01432
97	1.0e-01	2.4854	0.6795	2.9584	0.5789	-0.01191
98	1.0e-01	2.4716	0.6828	2.8760	0.6112	-0.00814
99	1.0e-01	2.4836	0.6813	2.8586	0.6140	-0.01299
100	1.0e-01	2.4826	0.6809	2.8637	0.6133	-0.01013
101	1.0e-01	2.4828	0.6813	3.0273	0.5848	-0.01084
102	1.0e-01	2.4829	0.6829	3.2637	0.5630	-0.01440
103	1.0e-01	2.4857	0.6832	3.2573	0.5468	-0.01832
104	1.0e-01	2.4897	0.6823	3.1422	0.5806	-0.01253
105	1.0e-01	2.4887	0.6827	3.0782	0.5862	-0.00692
106	1.0e-01	2.4762	0.6845	2.9914	0.5906	-0.01159
107	1.0e-01	2.4967	0.6821	3.1864	0.5645	-0.01074
108	1.0e-01	2.4968	0.6810	2.9635	0.5864	-0.01501
109	1.0e-01	2.4865	0.6832	3.0114	0.5857	-0.00890
110	1.0e-01	2.4916	0.6831	3.0943	0.5703	-0.01567
111	1.0e-01	2.4865	0.6852	2.9575	0.6057	-0.01083
112	1.0e-01	2.4794	0.6856	2.9819	0.5890	-0.00669
113	1.0e-01	2.4883	0.6839	2.9444	0.6117	-0.01287
114	1.0e-01	2.4911	0.6846	3.0665	0.5898	-0.01134
115	1.0e-01	2.4857	0.6835	3.2866	0.5522	-0.01409
