epoch	lr	loss	acc	val_loss	val_acc	time
90	6.2e-02	1.8052	0.7126	1.9478	0.7216	485
91	6.2e-02	1.8176	0.7110	1.9041	0.7218	485
92	6.2e-02	1.8207	0.7089	1.8702	0.7288	485
93	6.2e-02	1.8091	0.7132	1.9798	0.7108	485
94	6.2e-02	1.8071	0.7139	1.8531	0.7353	486
95	6.2e-02	1.8197	0.7093	1.9038	0.7353	486
96	6.2e-02	1.8261	0.7123	1.9059	0.7413	485
97	6.2e-02	1.7969	0.7189	1.8686	0.7336	485
98	6.2e-02	1.7976	0.7195	1.9677	0.7248	485
99	6.2e-02	1.8130	0.7146	1.8976	0.7277	485
100	6.2e-02	1.8204	0.7158	2.0963	0.7150	484
101	6.2e-02	1.7888	0.7236	1.9949	0.7164	485
102	6.2e-02	1.8162	0.7182	1.9406	0.7416	485
103	6.2e-02	1.8154	0.7187	2.0443	0.7045	485
104	6.2e-02	1.8330	0.7150	1.8392	0.7411	484
105	6.2e-02	1.8006	0.7244	1.9587	0.7257	484
106	6.2e-02	1.8030	0.7208	1.9265	0.7398	485
107	6.2e-02	1.8004	0.7212	2.0723	0.7121	485
108	6.2e-02	1.8133	0.7192	1.9197	0.7298	485
109	6.2e-02	1.7923	0.7255	1.9833	0.7221	485
110	6.2e-02	1.7924	0.7240	1.9261	0.7307	485
111	6.2e-02	1.8001	0.7243	1.9048	0.7392	485
112	6.2e-02	1.8061	0.7232	2.0843	0.7120	486
113	6.2e-02	1.7792	0.7308	1.9961	0.7292	485
114	6.2e-02	1.8086	0.7214	1.9561	0.7300	485
115	6.2e-02	1.8040	0.7243	1.9146	0.7409	485
116	6.2e-02	1.8073	0.7242	2.0105	0.7244	485
117	6.2e-02	1.7773	0.7323	1.9150	0.7369	485
118	6.2e-02	1.7915	0.7292	1.8819	0.7459	484
119	6.2e-02	1.7963	0.7292	2.0140	0.7271	484
120	6.2e-02	1.7868	0.7299	1.9510	0.7355	485
121	6.2e-02	1.7585	0.7370	1.9781	0.7345	484
122	6.2e-02	1.7723	0.7341	1.9245	0.7335	484
123	6.2e-02	1.7842	0.7312	1.9515	0.7292	484
124	6.2e-02	1.8004	0.7276	2.0321	0.7348	484
125	6.2e-02	1.7762	0.7353	1.9080	0.7450	484
126	6.2e-02	1.7707	0.7379	1.9852	0.7430	484
127	6.2e-02	1.7868	0.7343	2.0297	0.7296	484
128	6.2e-02	1.7845	0.7325	1.9836	0.7354	484
129	6.2e-02	1.7492	0.7405	1.9927	0.7276	484
130	6.2e-02	1.7680	0.7402	1.9633	0.7391	483
131	6.2e-02	1.7746	0.7384	1.9816	0.7438	485
132	6.2e-02	1.7755	0.7356	1.9573	0.7312	485
133	6.2e-02	1.7377	0.7465	1.9101	0.7537	484
134	6.2e-02	1.7612	0.7415	1.9344	0.7418	485
135	6.2e-02	1.7613	0.7400	2.0100	0.7346	484
136	6.2e-02	1.7654	0.7393	2.0007	0.7367	484
137	6.2e-02	1.7450	0.7448	1.9557	0.7367	484
138	6.2e-02	1.7456	0.7464	2.0184	0.7380	484
139	6.2e-02	1.7588	0.7414	1.9822	0.7378	484
140	6.2e-02	1.7706	0.7385	1.9536	0.7346	484
141	6.2e-02	1.7433	0.7485	1.9298	0.7511	484
